"Frekvens","Allokering","Bruk"
"2190.5 - 2194 kHz (ECA36)","MARITIME MOBILE","Inductive applications | Maritime communications | Maritime military systems"
"2194 - 2300 kHz (5.103 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime communications | Maritime military systems | Radiodetermination applications"
"2300 - 2498 kHz (5.103 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"2498 - 2501 kHz","STANDARD FREQUENCY AND TIME SIGNAL (2 500 KHZ)","Inductive applications"
"2501 - 2502 kHz","Space Research  | STANDARD FREQUENCY AND TIME SIGNAL","Inductive applications"
"2502 - 2625 kHz (5.103 | 5.92 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime military systems | Radiodetermination applications"
"2625 - 2650 kHz (5.92 | ECA36)","MARITIME MOBILE  | MARITIME RADIONAVIGATION","Inductive applications | Maritime communications | Maritime military systems"
"2650 - 2850 kHz (5.103 | 5.92 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime military systems | Radiodetermination applications"
"2850 - 3025 kHz (5.111 | 5.115 | ECA36)","AERONAUTICAL MOBILE-SATELLITE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications | SAR (communications)"
"3025 - 3155 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"3155 - 3200 kHz (5.116 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"3200 - 3230 kHz (5.116 | ECA2)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"3230 - 3400 kHz (5.116 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"3400 - 3500 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"3500 - 3800 kHz (5.92 | ECA36)","AMATEUR  | FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Amateur | Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"3800 - 3900 kHz (ECA36)","AERONAUTICAL MOBILE (OR)  | FIXED  | LAND MOBILE","Aeronautical communications | Aeronautical military systems | Inductive applications | Land military systems"
"3900 - 3950 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"3950 - 4000 kHz (ECA36)","BROADCASTING  | FIXED","Broadcasting | Inductive applications | Land military systems"
"4000 - 4063 kHz (ECA36)","FIXED  | MARITIME MOBILE (5.127)","Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"4063 - 4438 kHz (5.130 | 5.131 | 5.132 | ECA36)","MARITIME MOBILE (5.79A | 5.79A | 5.79A)","DSC | Inductive applications | Maritime communications | Maritime military systems | NAVTEX | Railway applications"
"4438 - 4488 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)  | Radiolocation (5.132A)","Inductive applications | Land military systems | Maritime military systems | Radiolocation (military)"
"4488 - 4650 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime military systems"
"4650 - 4700 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"4700 - 4750 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"4750 - 4850 kHz (ECA36)","AERONAUTICAL MOBILE (OR)  | FIXED  | LAND MOBILE","Aeronautical communications | Aeronautical military systems | Inductive applications | Land military systems"
"4850 - 4995 kHz (ECA36)","FIXED  | LAND MOBILE","Inductive applications | Land military systems"
"4995 - 5003 kHz","STANDARD FREQUENCY AND TIME SIGNAL (5 000 KHZ)","Inductive applications"
"5003 - 5005 kHz","Space Research  | STANDARD FREQUENCY AND TIME SIGNAL","Inductive applications"
"5005 - 5060 kHz (ECA36)","FIXED","Inductive applications | Land military systems"
"5060 - 5250 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile","Inductive applications | Land military systems | Maritime military systems"
"5250 - 5275 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | Radiolocation (5.132A)","Inductive applications | Land military systems | Maritime military systems | Radiolocation (military)"
"5275 - 5351.5 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Inductive applications | Land military systems | Maritime military systems"
"5351.5 - 5366.5 kHz (ECA36)","Amateur (5.133B) | FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Amateur | Inductive applications | Land military systems | Maritime military systems"
"5366.5 - 5450 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Inductive applications | Land military systems | Maritime military systems"
"5450 - 5480 kHz (ECA36)","AERONAUTICAL MOBILE (OR)  | FIXED  | LAND MOBILE","Aeronautical communications | Aeronautical military systems | Inductive applications | Land military systems"
"5480 - 5680 kHz (5.111 | 5.115 | ECA36)","AERONAUTICAL MOBILE-SATELLITE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications | SAR (communications)"
"5680 - 5730 kHz (5.111 | 5.115 | ECA36)","AERONAUTICAL MOBILE (OR)","Aeronautical communications | Aeronautical military systems | Inductive applications | SAR (communications)"
"5730 - 5900 kHz (ECA36)","FIXED  | LAND MOBILE","Inductive applications | Land military systems"
"5900 - 5950 kHz (5.136)","BROADCASTING (5.134)","Broadcasting | Inductive applications"
"5950 - 6200 kHz","BROADCASTING","Broadcasting | Inductive applications"
"6200 - 6525 kHz (5.132 | 5.137 | ECA36)","MARITIME MOBILE (5.110 | 5.110 | 5.110)","DSC | Inductive applications | Maritime communications | Maritime military systems"
"6525 - 6685 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"6685 - 6765 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"6765 - 7000 kHz (5.138 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","ISM | Inductive applications | Land military systems | Maritime military systems | Non-specific SRDs"
"7000 - 7100 kHz","AMATEUR  | AMATEUR-SATELLITE","Amateur | Inductive applications"
"7100 - 7200 kHz","AMATEUR","Amateur | Inductive applications"
"7200 - 7300 kHz","BROADCASTING","Broadcasting | Inductive applications"
"7300 - 7400 kHz (5.143 | 5.143B)","BROADCASTING (5.134)","Broadcasting | Inductive applications"
"7400 - 7450 kHz (5.143B)","BROADCASTING","Broadcasting | Inductive applications"
"7450 - 8100 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (R)","Inductive applications | Land military systems | Maritime military systems"
"8100 - 8195 kHz (ECA36)","FIXED  | MARITIME MOBILE","Inductive applications | Land military systems | Maritime communications | Maritime military systems"
"8195 - 8815 kHz (5.111 | ECA36)","MARITIME MOBILE (5.145 | 5.145 | 5.145 | 5.145)","DSC | Inductive applications | Maritime communications | Maritime military systems"
"8815 - 8965 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"8965 - 9040 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"9040 - 9305 kHz (ECA36)","FIXED","Inductive applications | Land military systems"
"9305 - 9355 kHz (ECA36)","FIXED  | Radiolocation (5.145A)","Inductive applications | Land military systems"
"9355 - 9400 kHz (ECA36)","FIXED","Inductive applications | Land military systems"
"9400 - 9500 kHz (5.146)","BROADCASTING (5.134)","Broadcasting | Inductive applications"
"9500 - 9900 kHz (5.147)","BROADCASTING","Broadcasting | Inductive applications"
"9900 - 9995 kHz (ECA36)","FIXED","Inductive applications | Land military systems"
"9995 - 10003 kHz (5.111)","STANDARD FREQUENCY AND TIME SIGNAL (10 000 KHZ)","Inductive applications"
"10003 - 10005 kHz (5.111)","Space Research  | STANDARD FREQUENCY AND TIME SIGNAL","Inductive applications | SAR (communications)"
"10005 - 10100 kHz (5.111 | ECA36)","AERONAUTICAL MOBILE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"10100 - 10150 kHz (ECA36)","Amateur  | FIXED","Amateur | Inductive applications | Land military systems"
"10150 - 11175 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile (R)","Inductive applications | Land military systems | Maritime military systems | Railway applications"
"11175 - 11275 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Aeronautical communications | Aeronautical military systems | Inductive applications | Railway applications"
"11275 - 11400 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications | Railway applications"
"11400 - 11600 kHz (ECA36)","FIXED","Inductive applications | Land military systems | Railway applications"
"11600 - 11650 kHz (5.146)","BROADCASTING (5.134)","Broadcasting | Inductive applications | Railway applications"
"11650 - 12050 kHz (5.147)","BROADCASTING","Broadcasting | Inductive applications | Railway applications"
"12050 - 12100 kHz (5.146)","BROADCASTING (5.134)","Broadcasting | Inductive applications | Railway applications"
"12100 - 12230 kHz (ECA36)","FIXED","Inductive applications | Land military systems | Railway applications"
"12230 - 13200 kHz (ECA36)","MARITIME MOBILE (5.145 | 5.145 | 5.145 | 5.145)","Active medical implants | DSC | Inductive applications | Maritime communications | Maritime military systems | Railway applications"
"13200 - 13260 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Active medical implants | Aeronautical communications | Aeronautical military systems | Inductive applications | Railway applications"
"13260 - 13360 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Active medical implants | Aeronautical communications | Aeronautical military systems | Inductive applications | Railway applications"
"13360 - 13410 kHz (5.149 | ECA36)","FIXED  | RADIO ASTRONOMY","Active medical implants | Defence systems | Inductive applications | Radio astronomy | Railway applications"
"13410 - 13450 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile (R)","Active medical implants | Inductive applications | Land military systems | Railway applications"
"13450 - 13550 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile (R)  | Radiolocation (5.132A)","Active medical implants | Inductive applications | Land military systems | Railway applications"
"13550 - 13570 kHz (5.150 | ECA36)","FIXED  | Mobile except aeronautical mobile (R)","Active medical implants | ISM | Inductive applications | Land military systems | Non-specific SRDs | Railway applications"
"13570 - 13600 kHz (5.151)","BROADCASTING (5.134)","Active medical implants | Broadcasting | Inductive applications | Railway applications"
"13600 - 13800 kHz","BROADCASTING","Active medical implants | Broadcasting | Inductive applications | Railway applications"
"13800 - 13870 kHz (5.151)","BROADCASTING (5.134)","Active medical implants | Broadcasting | Inductive applications | Railway applications"
"13870 - 14000 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile (R)","Active medical implants | Inductive applications | Land military systems | Railway applications"
"14000 - 14250 kHz","AMATEUR  | AMATEUR-SATELLITE","Active medical implants | Amateur | Amateur-satellite | Inductive applications | Railway applications"
"14250 - 14350 kHz","AMATEUR","Active medical implants | Amateur | Inductive applications | Railway applications"
"14350 - 14990 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile (R)","Active medical implants | Inductive applications | Land military systems | Railway applications"
"14990 - 15005 kHz (5.111)","STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)","Active medical implants | Inductive applications | Railway applications | SAR (communications)"
"15005 - 15010 kHz","Space Research  | STANDARD FREQUENCY AND TIME SIGNAL","Active medical implants | Inductive applications | Railway applications"
"15010 - 15100 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Active medical implants | Aeronautical communications | Aeronautical military systems | Inductive applications | Railway applications"
"15100 - 15600 kHz","BROADCASTING","Active medical implants | Broadcasting | Inductive applications | Railway applications"
"15600 - 15800 kHz (5.146)","BROADCASTING (5.134)","Active medical implants | Broadcasting | Inductive applications | Railway applications"
"15800 - 16100 kHz (ECA36)","FIXED","Active medical implants | Inductive applications | Land military systems | Railway applications"
"16100 - 16200 kHz (ECA36)","FIXED  | Radiolocation (5.145A)","Active medical implants | Inductive applications | Land military systems"
"16200 - 16360 kHz (ECA36)","FIXED","Active medical implants | Inductive applications | Land military systems"
"16360 - 17410 kHz (ECA36)","MARITIME MOBILE (5.145 | 5.145 | 5.145 | 5.145)","Active medical implants | DSC | Inductive applications | Maritime communications | Maritime military systems"
"17410 - 17480 kHz (ECA36)","FIXED","Active medical implants | Inductive applications | Land military systems"
"17480 - 17550 kHz (5.146)","BROADCASTING (5.134)","Active medical implants | Broadcasting | Inductive applications"
"17550 - 17900 kHz","BROADCASTING","Active medical implants | Broadcasting | Inductive applications"
"17900 - 17970 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Active medical implants | Aeronautical communications | Aeronautical military systems | Inductive applications"
"17970 - 18030 kHz (ECA36)","AERONAUTICAL MOBILE (OR)","Active medical implants | Aeronautical communications | Aeronautical military systems | Inductive applications"
"18030 - 18052 kHz (ECA36)","FIXED","Active medical implants | Inductive applications | Land military systems"
"18052 - 18068 kHz (ECA36)","FIXED  | Space Research","Active medical implants | Inductive applications | Land military systems"
"18068 - 18168 kHz","AMATEUR  | AMATEUR-SATELLITE","Active medical implants | Amateur | Amateur-satellite | Inductive applications"
"18168 - 18780 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile","Active medical implants | DSC | Inductive applications | Land military systems"
"18780 - 18900 kHz (ECA36)","MARITIME MOBILE","Active medical implants | Inductive applications | Maritime communications | Maritime military systems"
"18900 - 19020 kHz (5.146)","BROADCASTING (5.134)","Active medical implants | Broadcasting | Inductive applications"
"19020 - 19680 kHz (ECA36)","FIXED","Active medical implants | Inductive applications | Land military systems"
"19680 - 19800 kHz (ECA36)","MARITIME MOBILE (5.132)","Active medical implants | DSC | Inductive applications | Maritime communications | Maritime military systems"
"19800 - 19990 kHz (ECA36)","FIXED","Active medical implants | Inductive applications | Land military systems"
"19990 - 19995 kHz (5.111)","Space Research  | STANDARD FREQUENCY AND TIME SIGNAL","Active medical implants | Inductive applications | SAR (communications)"
"19995 - 20010 kHz (5.111)","STANDARD FREQUENCY AND TIME SIGNAL (20 000 KHZ)","Active medical implants | Inductive applications"
"20010 - 21000 kHz (ECA36)","FIXED  | Mobile","Inductive applications | Land military systems"
"21000 - 21450 kHz","AMATEUR  | AMATEUR-SATELLITE","Amateur | Amateur-satellite | Inductive applications"
"21450 - 21850 kHz","BROADCASTING","Broadcasting | Inductive applications"
"21850 - 21870 kHz (ECA36)","FIXED","Inductive applications | Land military systems"
"21870 - 21924 kHz (ECA36)","FIXED (5.155B)","Inductive applications | Land military systems"
"21924 - 22000 kHz (ECA36)","AERONAUTICAL MOBILE (R)","Aeronautical communications | Aeronautical military systems | Inductive applications"
"22000 - 22855 kHz (ECA36)","MARITIME MOBILE (5.132)","DSC | Inductive applications | Maritime communications | Maritime military systems"
"22855 - 23000 kHz (ECA36)","FIXED","Inductive applications | Land military systems"
"23000 - 23200 kHz (ECA36)","FIXED  | Mobile except aeronautical mobile (R)","Inductive applications | Land military systems"
"23200 - 23350 kHz (ECA36)","AERONAUTICAL MOBILE (OR)  | FIXED (5.156A)","Aeronautical communications | Aeronautical military systems | Inductive applications | Land military systems"
"23350 - 24000 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.157)","Inductive applications | Land military systems | Maritime military systems"
"24000 - 24450 kHz (ECA36)","FIXED  | LAND MOBILE","Inductive applications | Land military systems"
"24450 - 24600 kHz (ECA36)","FIXED  | LAND MOBILE  | Radiolocation (5.132A)","Inductive applications | Land military systems"
"24600 - 24890 kHz (ECA36)","FIXED  | LAND MOBILE","Inductive applications | Land military systems"
"24890 - 24990 kHz","AMATEUR  | AMATEUR-SATELLITE","Amateur | Amateur-satellite | Inductive applications"
"24990 - 25005 kHz","STANDARD FREQUENCY AND TIME SIGNAL (25 000 KHZ)","Inductive applications"
"25005 - 25010 kHz","Space Research  | STANDARD FREQUENCY AND TIME SIGNAL","Inductive applications | Space research"
"25010 - 25070 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Inductive applications | Land military systems | Maritime military systems"
"25070 - 25210 kHz (ECA36)","MARITIME MOBILE","DSC | Inductive applications | Maritime communications | Maritime military systems"
"25210 - 25550 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Inductive applications | Land military systems | Maritime military systems"
"25550 - 25670 kHz (5.149)","RADIO ASTRONOMY","Inductive applications | Radio astronomy"
"25670 - 26100 kHz","BROADCASTING","Broadcasting | Inductive applications"
"26100 - 26175 kHz (ECA36)","MARITIME MOBILE (5.132)","DSC | Inductive applications | Maritime communications | Maritime military systems"
"26175 - 26200 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","Inductive applications | Land military systems | Maritime military systems"
"26200 - 26350 kHz (ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | Radiolocation (5.132A)","Inductive applications | Land military systems | Maritime military systems"
"26350 - 27500 kHz (5.150 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","CB radio | ISM | Inductive applications | Land military systems | Maritime military systems | Model control | Non-specific SRDs | Railway applications"
"27500 - 28000 kHz (ECA36)","FIXED  | METEOROLOGICAL AIDS  | MOBILE","Aeronautical military systems | Inductive applications | Land military systems | Maritime military systems | Meteorological aids (military)"
"28 - 29.7 MHz","AMATEUR  | AMATEUR-SATELLITE","Amateur | Amateur-satellite | Inductive applications"
"29.7 - 30.005 MHz (ECA36)","MOBILE","Active medical implants | Aeronautical military systems | Inductive applications | Land military systems | Maritime military systems | Meteorological aids (military) | Radio microphones and ALD"
"30.005 - 30.01 MHz (ECA36)","MOBILE","Active medical implants | Aeronautical military systems | Land military systems | Maritime military systems | Radio microphones and ALD | Satellite systems (military)"
"30.01 - 37.5 MHz (ECA36)","MOBILE","Active medical implants | Aeronautical military systems | Land military systems | Maritime military systems | Model control | PMR | Radio microphones and ALD"
"37.5 - 38.25 MHz (5.149 | ECA36)","MOBILE  | Radio Astronomy","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio astronomy | Radio microphones and ALD"
"38.25 - 39 MHz (ECA36)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"39 - 39.5 MHz (ECA36)","MOBILE  | Radiolocation (5.132A)","Aeronautical military systems | Land military systems | Maritime military systems | Meteor scatter communications | PMR | Radio microphones and ALD"
"39.5 - 39.986 MHz (ECA36)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | Meteor scatter communications | PMR | Radio microphones and ALD"
"39.986 - 40.02 MHz (ECA36)","MOBILE  | Space Research","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"40.02 - 40.66 MHz (ECA36)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"40.66 - 40.7 MHz (5.150 | ECA36)","MOBILE","Aeronautical military systems | ISM | Land military systems | Maritime military systems | Model control | Non-specific SRDs | Radio microphones and ALD"
"40.7 - 40.98 MHz (ECA36)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"40.98 - 41.015 MHz (ECA36)","MOBILE  | Space Research","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"41.015 - 42 MHz (ECA36)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"42 - 42.5 MHz (5.161B | ECA36)","FIXED  | MOBILE  | Radiolocation (5.132A)","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"42.5 - 44 MHz (ECA36)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD"
"44 - 46.4 MHz (5.162A | ECA36)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD | Wind profilers"
"46.4 - 47 MHz (5.162A | ECA27)","MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMR | Radio microphones and ALD | Wind profilers"
"47 - 48 MHz (5.162A | 5.164 | ECA3 | ECA36)","LAND MOBILE","Land military systems | On-site paging | PMR | Wind profilers"
